city,GEOID,mobility_in_entropy,mobility_in_degree,mobility_in_weight,mobility_in_missing_income_neighbors,mobility_out_entropy,mobility_out_degree,mobility_out_weight,mobility_out_missing_income_neighbors,mentions_in_entropy,mentions_in_degree,mentions_in_weight,mentions_in_missing_income_neighbors,mentions_out_entropy,mentions_out_degree,mentions_out_weight,mentions_out_missing_income_neighbors
Chicago,17031440600,0.8791693908270419,164,224.0,0,0.922211530959581,90,105.0,0,0.6013956368435129,12,12.0,0,0.5604783958455847,7,7.0,0
Chicago,17043846413,0.9135146928935716,278,423.0,0,0.825576613039885,58,89.0,0,0.8509553984313722,13,13.0,0,0.672407948938507,12,13.0,0
Chicago,17089853200,0.9377272114437752,69,148.0,0,0.972456528787142,119,254.0,0,0.95602344073433,31,33.0,0,0.9100664665397094,23,25.0,0
Chicago,17031760803,0.8553508366465185,27,36.0,0,0.904141278836879,150,219.0,0,0.9026073758112834,18,20.0,0,0.9599681602486099,30,34.0,0
Chicago,17031710800,0.6746558382626531,106,159.0,0,0.8898793919023648,178,268.0,0,0.7627759615770443,11,11.0,0,0.5333862650237753,7,7.0,0
Chicago,17031804306,0.9047424432061144,60,108.0,0,0.8692778997257765,128,218.0,0,0.6665362761346824,10,19.0,0,0.8087036350235745,17,20.0,0
Chicago,18089042608,0.9014497175182752,46,91.0,0,0.943259720534066,82,135.0,0,0.5990727548623354,9,13.0,0,0.7138276879460799,11,19.0,0
Chicago,17031381400,0.6773722521251209,67,79.0,0,0.7999853669168532,47,52.0,0,0.6131471927654584,3,3.0,0,0.5553351369244944,8,9.0,0
Chicago,17031824108,0.8683849564437212,203,418.0,0,0.8990909585759659,125,281.0,0,0.7605653812679729,28,46.0,0,0.8314409360655726,42,61.0,0
Chicago,17031062600,0.9243664095249272,130,176.0,0,0.7773756184157365,108,178.0,0,0.7737056144690833,4,4.0,0,0.7420981285103057,6,6.0,0
Chicago,17031831300,0.8146743772387944,107,147.0,0,0.7675149021732323,26,32.0,0,0.5802792108518124,4,4.0,0,0.4444299884274581,7,7.0,0
Chicago,17043846002,0.8881876904991732,328,492.0,0,0.902249932658832,81,118.0,0,0.7420981285103057,6,6.0,0,0.5887621559162939,5,5.0,0
Chicago,17031150200,0.9444049175677707,317,483.0,0,0.9680190821930458,294,490.0,0,0.8852068596338534,30,32.0,0,0.9411722021572237,43,44.0,0
Chicago,17031820603,0.9842037746596867,109,120.0,0,0.9025234878889403,94,170.0,0,0.6172088932791937,15,20.0,0,0.6717611315799272,20,30.0,0
Chicago,17197880702,0.9661881961731602,57,77.0,0,0.9675657089834263,110,162.0,0,0.7445652956641438,18,23.0,0,0.8804136085804769,17,22.0,0
Chicago,17031842900,0.9511061664176701,313,414.0,0,0.9743878647480012,100,130.0,0,0.9756641375534827,12,12.0,0,0.6769924126604479,8,8.0,0
Chicago,17097864517,0.6893378743202118,53,75.0,0,0.6419095206649456,74,137.0,0,0.18780185809677274,12,19.0,0,0.3159384664524843,9,12.0,0
Chicago,17031830500,0.908581337842812,163,217.0,0,0.900755826792953,112,142.0,0,0.6131471927654584,3,3.0,0,0.38685280723454163,2,2.0,0
Chicago,17031804901,0.8639923106108571,109,146.0,0,0.8372781460298921,87,135.0,0,0.3756149631508355,5,5.0,0,0.3692254733516234,7,8.0,0
Chicago,17031804406,0.8997584429716459,100,203.0,0,0.918776913708396,121,196.0,0,0.9006757139383933,17,20.0,0,0.873091578283522,16,17.0,0
Chicago,18089042606,0.9390054164626574,37,57.0,0,0.9424900288592222,33,43.0,0,0.5802792108518124,3,4.0,0,0.5385560615583984,7,9.0,0
Chicago,17031200300,0.6975925572209126,22,29.0,0,0.9741784892584412,102,134.0,0,0.6289509357448473,12,12.0,0,0.49242710289411906,12,15.0,0
Chicago,17031050200,0.9527108410868144,251,398.0,0,0.8513861337977575,176,336.0,0,0.5644754678724236,12,12.0,0,0.7127263906780549,7,7.0,0
Chicago,17031818402,0.9169536246199518,62,93.0,0,0.9414556974054719,68,80.0,0,0.5486717248930348,12,12.0,0,0.5802792108518124,4,4.0,0
Chicago,17197884006,0.7565455682521939,25,38.0,0,0.7528843159999421,20,35.0,0,0.355245321275764,3,3.0,0,0.38685280723454163,2,2.0,0
Chicago,17031806104,0.9190085614465437,172,235.0,0,0.9128666454830666,74,119.0,0,0.7127263906780549,7,7.0,0,0.355245321275764,3,3.0,0
Chicago,17097862902,0.854270790018933,33,56.0,0,0.9849145122092503,64,84.0,0,0.863173161693871,10,11.0,0,0.6924390875344003,11,11.0,0
Chicago,17031490800,0.8362850502408328,175,247.0,0,0.9038284106489558,135,172.0,0,0.5553351369244944,9,9.0,0,0.743216002573569,13,14.0,0
Chicago,17097863400,0.8159700976142037,96,130.0,0,0.8982845912500261,120,166.0,0,0.5802792108518124,4,4.0,0,0.3756149631508355,5,5.0,0
Chicago,17031291200,0.7049398928816833,30,37.0,0,0.8012634448227381,126,151.0,0,0.38685280723454163,2,2.0,0,0.340929858357647,10,10.0,0
Chicago,17043841606,0.7533453862757342,61,119.0,0,0.8691489240641127,45,55.0,0,-0.0,2,2.0,0,-0.0,1,1.0,0
Chicago,17063000900,0.9452751655054904,122,149.0,0,0.7472477149670027,30,49.0,0,0.6413024274210593,9,9.0,0,0.4841962570206112,5,6.0,0
Chicago,17031160400,0.9101461868154067,107,146.0,0,0.9659046694590696,208,314.0,0,0.8596610491977071,11,11.0,0,0.9179887045038185,20,21.0,0
Chicago,17097860200,0.9048548171923717,73,147.0,0,0.8500726067834574,20,25.0,0,0.355245321275764,3,3.0,0,0.6131471927654584,3,3.0,0
Chicago,17031710900,0.7990461076581165,169,243.0,0,0.88833524998179,203,272.0,0,0.6724127193811803,60,68.0,0,0.6777691289957652,39,40.0,0
Chicago,17031490400,0.6846645852262573,36,41.0,0,0.8773933302627447,77,91.0,0,-0.0,2,2.0,0,,0,0.0,0
Chicago,17031420700,0.622803115772083,98,130.0,0,0.8306031704320471,83,98.0,0,0.5837715294174136,19,19.0,0,0.7421683669524062,26,27.0,0
Chicago,17111871207,0.734957507302806,98,274.0,0,0.7716885744267298,102,191.0,0,0.6501345896528684,15,29.0,0,0.6412246016662475,13,29.0,0
