OID_TRACT_20|GEOID_TRACT_20|NAMELSAD_TRACT_20|AREALAND_TRACT_20|AREAWATER_TRACT_20|MTFCC_TRACT_20|FUNCSTAT_TRACT_20|OID_TRACT_10|GEOID_TRACT_10|NAMELSAD_TRACT_10|AREALAND_TRACT_10|AREAWATER_TRACT_10|MTFCC_TRACT_10|FUNCSTAT_TRACT_10|AREALAND_PART|AREAWATER_PART
20790540092527|01001020100|Census Tract 201|9825304|28435|G5020|S|20740540092527|01001020100|Census Tract 201|9827271|28435|G5020|S|9820448|28435
20790540092527|01001020100|Census Tract 201|9825304|28435|G5020|S|20740540092534|01001020200|Census Tract 202|3325674|5669|G5020|S|4856|0
20790540092534|01001020200|Census Tract 202|3320818|5669|G5020|S|20740540092534|01001020200|Census Tract 202|3325674|5669|G5020|S|3320818|5669
20790540092528|01001020300|Census Tract 203|5349271|9054|G5020|S|20740540092528|01001020300|Census Tract 203|5349271|9054|G5020|S|5349271|9054
20790540092529|01001020400|Census Tract 204|6384282|8408|G5020|S|20740540092529|01001020400|Census Tract 204|6384282|8408|G5020|S|6384282|8408
2079015481950467|01001020501|Census Tract 205.01|6203654|0|G5020|S|20740540092530|01001020500|Census Tract 205|11408867|43534|G5020|S|6203654|0
2079015481950491|01001020502|Census Tract 205.02|2097390|379|G5020|S|20740540092530|01001020500|Census Tract 205|11408867|43534|G5020|S|2097390|379
2079015481950495|01001020503|Census Tract 205.03|3107823|43155|G5020|S|20740540092530|01001020500|Census Tract 205|11408867|43534|G5020|S|3107823|43155
20790540092531|01001020600|Census Tract 206|8041611|59779|G5020|S|20740540092531|01001020600|Census Tract 206|8041611|59779|G5020|S|8041611|59779
20790540092532|01001020700|Census Tract 207|22411848|772012|G5020|S|20740540092532|01001020700|Census Tract 207|22411848|772012|G5020|S|22411848|772012
207903291122609|01001020801|Census Tract 208.01|124272664|8117631|G5020|S|207403291122609|01001020801|Census Tract 208.01|124272664|8117631|G5020|S|124272664|8117631
2079015481950471|01001020803|Census Tract 208.03|129030127|584928|G5020|S|20740540092527|01001020100|Census Tract 201|9827271|28435|G5020|S|6823|0
2079015481950471|01001020803|Census Tract 208.03|129030127|584928|G5020|S|207403291121192|01001020802|Census Tract 208.02|190838843|640829|G5020|S|129023304|584928
2079015481950478|01001020804|Census Tract 208.04|26378238|5263|G5020|S|207403291121192|01001020802|Census Tract 208.02|190838843|640829|G5020|S|26378238|5263
2079015481950481|01001020805|Census Tract 208.05|35437301|50638|G5020|S|207403291121192|01001020802|Census Tract 208.02|190838843|640829|G5020|S|35437301|50638
2079015481950483|01001020901|Census Tract 209.01|105252240|271716|G5020|S|20740540092526|01001020900|Census Tract 209|292756817|516152|G5020|S|105252240|271716
2079015481950469|01001020902|Census Tract 209.02|187504577|244436|G5020|S|20740540092526|01001020900|Census Tract 209|292756817|516152|G5020|S|187504577|244436
20790540092525|01001021000|Census Tract 210|386865283|1575402|G5020|S|20740540092525|01001021000|Census Tract 210|386837529|1575402|G5020|S|386837529|1575402
20790540092525|01001021000|Census Tract 210|386865283|1575402|G5020|S|20740540092524|01001021100|Census Tract 211|478179507|13897907|G5020|S|27754|0
20790540092524|01001021100|Census Tract 211|478151753|13897907|G5020|S|20740540092524|01001021100|Census Tract 211|478179507|13897907|G5020|S|478151753|13897907
20790114112869|01003010100|Census Tract 101|971527026|37552076|G5020|S|20740114112869|01003010100|Census Tract 101|971527026|37552076|G5020|S|971527026|37552076
20790114112850|01003010200|Census Tract 102|221797187|358878|G5020|S|20740114112850|01003010200|Census Tract 102|221950081|358878|G5020|S|221786638|358878
20790114112850|01003010200|Census Tract 102|221797187|358878|G5020|S|20740114112853|01003010500|Census Tract 105|17271989|143767|G5020|S|10549|0
20790114112851|01003010300|Census Tract 103|343037976|23132689|G5020|S|20740114112851|01003010300|Census Tract 103|343732955|23156921|G5020|S|343037976|22524317
20790114112851|01003010300|Census Tract 103|343037976|23132689|G5020|S|20740114112855|01003010701|Census Tract 107.01|108696850|53902574|G5020|S|0|606385
20790114112851|01003010300|Census Tract 103|343037976|23132689|G5020|S|20740114112857|01003010703|Census Tract 107.03|144081684|661759|G5020|S|0|1987
20790114112852|01003010400|Census Tract 104|737472734|3860543|G5020|S|20740114112852|01003010400|Census Tract 104|737472734|3860543|G5020|S|737472734|3860543
20790114112853|01003010500|Census Tract 105|17424883|143767|G5020|S|20740114112850|01003010200|Census Tract 102|221950081|358878|G5020|S|163443|0
20790114112853|01003010500|Census Tract 105|17424883|143767|G5020|S|20740114112853|01003010500|Census Tract 105|17271989|143767|G5020|S|17261440|143767
20790114112854|01003010600|Census Tract 106|18578278|21477|G5020|S|20740114112854|01003010600|Census Tract 106|18578278|21477|G5020|S|18578278|21477
20790114112863|01003010704|Census Tract 107.04|8412809|210501|G5020|S|20740114112863|01003010704|Census Tract 107.04|8413581|211757|G5020|S|8412425|210206
20790114112863|01003010704|Census Tract 107.04|8412809|210501|G5020|S|20740114112872|01003010705|Census Tract 107.05|17396846|26251946|G5020|S|384|295
2079015488640723|01003010706|Census Tract 107.06|13440685|2433|G5020|S|20740114112855|01003010701|Census Tract 107.01|108696850|53902574|G5020|S|13440685|2433
2079015488640622|01003010707|Census Tract 107.07|95951144|53926360|G5020|S|20740114112851|01003010300|Census Tract 103|343732955|23156921|G5020|S|694979|632604
2079015488640622|01003010707|Census Tract 107.07|95951144|53926360|G5020|S|20740114112855|01003010701|Census Tract 107.01|108696850|53902574|G5020|S|95256165|53293756
2079015488640707|01003010708|Census Tract 107.08|81509929|457400|G5020|S|20740114112857|01003010703|Census Tract 107.03|144081684|661759|G5020|S|81509929|457400
2079015488640597|01003010709|Census Tract 107.09|62598355|202372|G5020|S|20740114112857|01003010703|Census Tract 107.03|144081684|661759|G5020|S|62571755|202372
2079015488640597|01003010709|Census Tract 107.09|62598355|202372|G5020|S|20740114112872|01003010705|Census Tract 107.05|17396846|26251946|G5020|S|26600|0
2079015488640592|01003010710|Census Tract 107.10|13820240|26216754|G5020|S|20740114112863|01003010704|Census Tract 107.04|8413581|211757|G5020|S|1156|1551
2079015488640592|01003010710|Census Tract 107.10|13820240|26216754|G5020|S|20740114112872|01003010705|Census Tract 107.05|17396846|26251946|G5020|S|13819084|26215203
2079015488640615|01003010711|Census Tract 107.11|3550778|36448|G5020|S|20740114112872|01003010705|Census Tract 107.05|17396846|26251946|G5020|S|3550778|36448
20790114112858|01003010800|Census Tract 108|18070804|3938649|G5020|S|20740114112858|01003010800|Census Tract 108|18070804|3938649|G5020|S|18070804|3938649
207903717427202|01003010903|Census Tract 109.03|55586749|272807|G5020|S|207403717427202|01003010903|Census Tract 109.03|55586749|272807|G5020|S|55586749|272807
207903717427183|01003010904|Census Tract 109.04|276176721|3607489|G5020|S|207403717427183|01003010904|Census Tract 109.04|276128348|3607489|G5020|S|276128348|3607489
207903717427183|01003010904|Census Tract 109.04|276176721|3607489|G5020|S|207403717427253|01003010906|Census Tract 109.06|39371682|185367|G5020|S|48373|0
207903717427253|01003010906|Census Tract 109.06|39323309|185367|G5020|S|207403717427253|01003010906|Census Tract 109.06|39371682|185367|G5020|S|39323309|185367
2079015488640641|01003010907|Census Tract 109.07|40172213|132419|G5020|S|207403717427276|01003010905|Census Tract 109.05|71122414|181185|G5020|S|40172213|132419
2079015488640635|01003010908|Census Tract 109.08|30950201|48766|G5020|S|207403717427276|01003010905|Census Tract 109.05|71122414|181185|G5020|S|30950201|48766
20790114112870|01003011000|Census Tract 110|130503901|720539|G5020|S|20740114112870|01003011000|Census Tract 110|130503901|720539|G5020|S|130503901|720539
207903717427273|01003011102|Census Tract 111.02|45245121|812152|G5020|S|207403717427273|01003011102|Census Tract 111.02|45325115|812152|G5020|S|45245121|812152
2079015488640645|01003011103|Census Tract 111.03|15713127|9730|G5020|S|207403717427275|01003011101|Census Tract 111.01|33531357|26593|G5020|S|15713127|9730
2079015488640603|01003011104|Census Tract 111.04|17898205|16863|G5020|S|207403717427275|01003011101|Census Tract 111.01|33531357|26593|G5020|S|17818230|16863
2079015488640603|01003011104|Census Tract 111.04|17898205|16863|G5020|S|207403717427273|01003011102|Census Tract 111.02|45325115|812152|G5020|S|79975|0
20790114112861|01003011201|Census Tract 112.01|12315478|1296975|G5020|S|20740114112861|01003011201|Census Tract 112.01|12315478|1296975|G5020|S|12315478|1296975
207903717427274|01003011202|Census Tract 112.02|13487064|2596328|G5020|S|207403717427274|01003011202|Census Tract 112.02|13487064|2596328|G5020|S|13487064|2596328
20790114112864|01003011300|Census Tract 113|65679503|12647453|G5020|S|207403717427273|01003011102|Census Tract 111.02|45325115|812152|G5020|S|19|0
20790114112864|01003011300|Census Tract 113|65679503|12647453|G5020|S|20740114112864|01003011300|Census Tract 113|65679484|12647453|G5020|S|65679484|12647453
2079015488640734|01003011409|Census Tract 114.09|53692954|476227|G5020|S|20740114112865|01003011401|Census Tract 114.01|164754897|12115915|G5020|S|53692954|476227
2079015488640648|01003011410|Census Tract 114.10|111060271|11551936|G5020|S|20740114112865|01003011401|Census Tract 114.01|164754897|12115915|G5020|S|111060271|11551936
2079015488640676|01003011411|Census Tract 114.11|41208923|6536366|G5020|S|20740114112865|01003011401|Census Tract 114.01|164754897|12115915|G5020|S|1652|51427
2079015488640676|01003011411|Census Tract 114.11|41208923|6536366|G5020|S|20740114112856|01003011403|Census Tract 114.03|85203711|9097126|G5020|S|41207271|6446533
2079015488640676|01003011411|Census Tract 114.11|41208923|6536366|G5020|S|207403717427361|01003011601|Census Tract 116.01|234596733|12097870|G5020|S|0|38406
